id;name;description;code
1;acidic;huzzah gadzooks;yahoo finally supposing
2;before amnesty why;afore;misread
3;lest;nicely upward yuppify;unlike cafe cope
4;transom slowly enthusiastically;merge openly;heighten imaginative sunbathe
5;uh-huh per hmph;good-natured loosely;deceivingly provided
6;circa amidst except;ick writ;yum weighty knottily
7;coil eyebrow;nor yum mainstream;jacket
8;from wherever lock;whose crossly;meager really
9;ah ethical incidentally;excepting;lovingly who unlawful
10;geez gadzooks jut;abaft meh;ah flame impanel
