id;desactive;expire;valeur;valeur_content_type
1;true;true;../fake-data/blob/hipster.png;image/png
2;false;false;../fake-data/blob/hipster.png;image/png
3;true;false;../fake-data/blob/hipster.png;image/png
4;false;true;../fake-data/blob/hipster.png;image/png
5;false;true;../fake-data/blob/hipster.png;image/png
6;true;true;../fake-data/blob/hipster.png;image/png
7;false;true;../fake-data/blob/hipster.png;image/png
8;false;true;../fake-data/blob/hipster.png;image/png
9;true;false;../fake-data/blob/hipster.png;image/png
10;true;false;../fake-data/blob/hipster.png;image/png
