id;demandeur;direction;nbre_stagiaire;profil_formation;stagiaie_sous_recomandation;commentaire;motif;traitement
1;militate tighten;for gurn consequently;16387;oh behind glum;outnumber;CD following nervously;while fairly;near shrilly
2;fooey individual how;debit inasmuch;28827;after pointed;bloom brochure;beyond;unlike different flowery;seriously absolve
3;uselessly gosh;save naturally;23817;accessorise provided;sunder geez neatly;cop-out seagull;so;past
4;despite alongside openly;through bah;10970;exactly incandescence;via information;plumber;accidentally incidentally solidly;wetly sternly
5;furthermore;deeply yuck;17468;woot;besides circulate unnecessarily;towards;incidentally utilized commonly;properly
6;why clonk croon;spark astride duh;29642;outside;poor shanghai;grouchy barring;teeming but;injunction
7;times;minor;8872;likewise uh-huh;forenenst tomorrow putrefy;besides geez;a sleepily;broadcast schematise
8;swine unnecessarily;adviser vacation;16879;ring;provision;patiently spiffy ew;analyse verbally;upbeat atop impractical
9;per yowza;sensitize;6255;hmph finally;incidentally ha extroverted;since rural requirement;supposing outside because;boo
10;frozen upright;extremely rebuild peaceful;13626;nephew whereas phooey;swing magnificent;scuffle though mealy;foolhardy apropos down;given whereas
